i,t,k,k_lag,inv,inv_lag,l_error,y_true,y,x,p_x,omega,eps
1,1,1.6854792235733342,NA,1.147991609782836,NA,3.6549252243255235,4.401554719941801,NA,0,0.10962079170518277,1.6278665514747297,-0.13713233289936677
1,2,1.8362986367287013,1.6854792235733342,0.9840274213121494,1.147991609782836,3.076602116763889,4.003898182358967,NA,0,0.10505252483907182,1.0686022577470429,0.03456645554905642
1,3,1.9378260185037435,1.8362986367287013,1.3583093535971797,0.9840274213121494,3.6418839377894168,4.356620293997291,NA,0,0.05028433085694089,1.4561922978521686,-0.18442700436538115
1,4,2.07377132136331,1.9378260185037435,1.6712082305175753,1.3583093535971797,3.92689309155261,4.84866664685899,NA,0,0.01929073443717561,1.6008890825884028,0.010759021005748187
1,5,2.222267968595226,2.07377132136331,0.6648089868538223,1.6712082305175753,2.206125834318393,3.0131781014086685,NA,0,0.023273998877550526,0.2204074004755232,-0.20404204394719117
1,6,2.244069322642455,2.222267968595226,0.8508371896430208,0.6648089868538223,2.6027101496283924,3.698525703557579,NA,0,0.021902474740480876,0.4021100904426169,0.2050250573395651
1,7,2.2834929085274625,2.244069322642455,1.6450157693123646,0.8508371896430208,3.561444697563667,4.261430515051003,NA,0,0.005935804219534308,1.1767244445937783,-0.22602790502473355
1,8,2.394741256843394,2.2834929085274625,0.8999527505812943,1.6450157693123646,2.7059392023222495,2.978757056203569,NA,0,0.005335428475668842,0.32072336082511843,-0.5594730248763753
1,9,2.4263100145495673,2.394741256843394,0.6303531698175883,0.8999527505812943,2.343053487862392,2.9081851789776603,NA,0,0.006955606868292246,0.05699447895681428,-0.3158370077363289
1,10,2.431993282042554,2.4263100145495673,0.5386180952066544,0.6303531698175883,2.3106457488868286,3.2739471979363137,NA,0,0.006804177362126953,-0.026761926970772607,0.13618467769993295
2,1,0.7176509143019556,NA,0.17769301419427644,NA,1.1989095395134504,1.950553580129074,1.950553580129074,1,0.8893856014120408,0.3669589259315973,-0.15854289371658203
2,2,0.7536895436396469,0.7176509143019556,0.07435235350146495,0.17769301419427644,0.6621608264877051,1.2553443261403645,1.2553443261403645,1,0.9203814792915456,-0.1500777887826042,-0.25459273092232515
2,3,0.7385680084600791,0.7536895436396469,0.14097234913781787,0.07435235350146495,0.9772720552456367,1.7868511031682228,1.7868511031682228,1,0.9051001027536201,0.17356254035876018,-0.0991634541617201
2,4,0.7557753631398118,0.7385680084600791,0.11207932994443803,0.14097234913781787,0.8529138807042449,1.8766881363256804,1.8766881363256804,1,0.9050462256325426,0.026376456489188446,0.15068614949777495
2,5,0.7584095363062245,0.7557753631398118,0.09932483821692417,0.11207932994443803,0.7500961876897932,1.495320789259337,NA,0,0.9089264358112785,-0.034751705585011367,-0.15083341810796724
