i,t,l,k,k_lag,inv,inv_lag,y,x
1,1,3.6549252243255235,1.6854792235733342,NA,1.147991609782836,NA,NA,0
1,2,3.076602116763889,1.8362986367287013,1.6854792235733342,0.9840274213121494,1.147991609782836,NA,0
1,3,3.6418839377894168,1.9378260185037435,1.8362986367287013,1.3583093535971797,0.9840274213121494,NA,0
1,4,3.92689309155261,2.07377132136331,1.9378260185037435,1.6712082305175753,1.3583093535971797,NA,0
1,5,2.206125834318393,2.222267968595226,2.07377132136331,0.6648089868538223,1.6712082305175753,NA,0
1,6,2.6027101496283924,2.244069322642455,2.222267968595226,0.8508371896430208,0.6648089868538223,NA,0
1,7,3.561444697563667,2.2834929085274625,2.244069322642455,1.6450157693123646,0.8508371896430208,NA,0
1,8,2.7059392023222495,2.394741256843394,2.2834929085274625,0.8999527505812943,1.6450157693123646,NA,0
1,9,2.343053487862392,2.4263100145495673,2.394741256843394,0.6303531698175883,0.8999527505812943,NA,0
1,10,2.3106457488868286,2.431993282042554,2.4263100145495673,0.5386180952066544,0.6303531698175883,NA,0
2,1,1.1989095395134504,0.7176509143019556,NA,0.17769301419427644,NA,1.950553580129074,1
2,2,0.6621608264877051,0.7536895436396469,0.7176509143019556,0.07435235350146495,0.17769301419427644,1.2553443261403645,1
2,3,0.9772720552456367,0.7385680084600791,0.7536895436396469,0.14097234913781787,0.07435235350146495,1.7868511031682228,1
2,4,0.8529138807042449,0.7557753631398118,0.7385680084600791,0.11207932994443803,0.14097234913781787,1.8766881363256804,1
2,5,0.7500961876897932,0.7584095363062245,0.7557753631398118,0.09932483821692417,0.11207932994443803,NA,0
2,6,1.0376215713056254,0.7549283133162953,0.7584095363062245,0.15636133034958893,0.09932483821692417,1.6811106348109313,1
2,7,0.8386321697824467,0.778153267517795,0.7549283133162953,0.1161191714983983,0.15636133034958893,1.773293225725372,1
2,8,0.666859997638811,0.7814758597207853,0.778153267517795,0.09537170163916749,0.1161191714983983,1.8637402584364462,1
2,9,0.11044653269811092,0.7751101272459,0.7814758597207853,0.010329546634747841,0.09537170163916749,1.35739127808669,1
2,10,0.7815624300285149,0.7288131066059036,0.7751101272459,0.10101013399725522,0.010329546634747841,1.8565359466850953,1
3,1,1.9052709504118506,1.1815642056686695,NA,0.38450300805196036,NA,2.8063976385467733,1
3,2,1.63164831102286,1.2473191118613307,1.1815642056686695,0.28299967323527414,0.38450300805196036,NA,0
3,3,2.0398839941591946,1.2781377260130777,1.2473191118613307,0.4342794683035499,0.28299967323527414,2.390290379950952,1
3,4,1.6520219935440783,1.346703404551397,1.2781377260130777,0.32759747010963713,0.4342794683035499,2.675135715234218,1
3,5,2.69123448701165,1.3813046989042497,1.346703404551397,0.6619616118297683,0.32759747010963713,3.4232086878490113,1
3,6,2.1565512347164395,1.4913406545538845,1.3813046989042497,0.49012419527220696,0.6619616118297683,NA,0
3,7,1.2078919610404948,1.5499044259578065,1.4913406545538845,0.1288370460708892,0.49012419527220696,NA,0
3,8,0.6156705434267615,1.5269919440026258,1.5499044259578065,-0.08119560899657068,0.1288370460708892,1.5656362685403735,1
3,9,0.7428267765223164,1.4569613429659416,1.5269919440026258,-0.01167835155153377,-0.08119560899657068,1.419526144498066,1
3,10,1.5631787467370841,1.402800371618403,1.4569613429659416,0.2613149781138521,-0.01167835155153377,2.4353677465625,1
4,1,1.486012628487523,1.3164313024805203,NA,0.28495401893349764,NA,NA,0
4,2,1.762877692308954,1.3424824231121137,1.3164313024805203,0.334549942871305,0.28495401893349764,2.791410073311347,1
4,3,1.3261361656046045,1.379183871125048,1.3424824231121137,0.18610852244724801,0.334549942871305,2.0606952281316206,1
4,4,1.118543394157218,1.376038068557997,1.379183871125048,0.11029935259255554,0.18610852244724801,1.8767054498550593,1
4,5,1.8686046651012433,1.3536483889532227,1.376038068557997,0.33177577215863857,0.11029935259255554,NA,0
4,6,2.1395349729861155,1.388722451978825,1.3536483889532227,0.47372136123254144,0.33177577215863857,2.8743839411091647,1
4,7,2.4188807352960318,1.454644199932075,1.388722451978825,0.5508725030979721,0.47372136123254144,NA,0
4,8,2.172944165973232,1.5303262729884402,1.454644199932075,0.4866623325094875,0.5508725030979721,2.690957616489384,1
